labels,texts
1,when movie first released  dad  aunts  uncles  grandparents anyone else  older  family generational ties would countless times watch  would laughing hard times would almost swear farted pants  seriously  s day age times know  cleverly put together  generation  kids adults alike  find classic  hard turn away  you could say stupid  silly  cantankerous  dirty raunchy  well  much anyway  maybe teensy bit wild side   in word  s awesome  funny  hold your ribs movie  imagine going race car driver riding wildly  hanging dear life finally  point   oh lord i hereby repent sins    if n t sound funny  re missing boat  movie    
1,we like movies moonshinning bad guys s comedy like romance  happens water 
1,really loved movie seen since kid really enjoyed seeing
1,the smell kinda strong  working like charm  my feet n t smell bad feet less sweatier  i recommne
1,really like product  it really cold north east i wear socks time  even like sleep socks making toes itch  the first time i used  stopped itch  i put couple drops small sponge wash feet  the itch completely gone  great product  will purchase 
0,it feels good washing  effect fungi nail    but feels good using wash 
0,they claim product  helps relieve discomfort itching dryness associated athlete s foot cleans refreshes skin   i athlete s foot product relieved discomfort itching  even close refreshing skin  even though dozens good reviews product weak help  do n t fooled 
1,i diabetic  i lucky find product years ago phlebitis cellulitis legs big problem not pedifix s funga soap easy use s soothing helps keep irritation control you feel relief immediately  i would highly recommend product  the quick  efficient way amazon able provide inexpensive yet dependable source made orderingeasy  shipment sent immediately i could n t ask better service 
1,husband gets poison ivy rash every weekend farm  this product  wide variety tried tested  works  it relieves old s irritation sanity complaining  i like  we use body wash no product needed 
0,this stuff n t anything  it s waste money  do n t fooled like i positive reviews it s watery smells bad  it s bubbly tea tree oil scented soap 
1,i bought product based reviewers liking banish fungal foot problems  i started taking yoga class gym twice week st week  noticed peeling toes  they mostly peeling tips place mat downward  anyway  i grossed since i usually athlete foot problems  so i used   days row couple times week yoga class problem cleared  and need much  use drops nail brush foot start scrubbing fungus away  it strong tea tree scent  i like  i know working dissipates minutes  it s worth  it s worth clean yoga mat periodically get rid fungus nasty gym floor 
1,my little boy rash neck back would go away  his doctor n t think anything serious recommended hydrocortisone ointment  absolutely nothing i fan continuous use steroids  even counter   i jumped amazon see i could find something mild use  i found item immediately interested i often use tea tree oil many different reasons  once i received product  i immediately began use day bath rash neck back  within  days  rash gone  this product lightly scented  mild  leave residue  i even use wash hair  helped dry scalp  
1,i love product  this second purchase  it gives relief plague athletes foot  i appreciate soap much glad i gave try 
1,i read previous reviews thought i d give product try  i cracked heels years husband repeatedly told due foot fungus  i ve tried athlete s foot sprays creams work stop  after days cleaning feet product heels almost completely smooth  i ve never fast response using sprays creams  plus  i ve using body wash noticed decrease body odor i exercise  i love stuff 
1,worked well itch  its certainly miracle cure  like reviews say use everyday  i probably buy 
0,this product nothing  you better regular soap drying well  use hair dryer must 
0,i used religiously i finished bottle  it help versicolor  all really dry skin lot 
0,this soap made break rash everywhere i used  i insurance i thought i would try get around going dermatologist  cost i go doctor rash soap caused original problem  it  office visit  dr actually gave discount believe  i got  different kinds meds cost  total  just careful use stuff  not sure i reaction s alot stuff 
0,this product made break really bad  lots people said great smell  smells pretty weird  i notice difference using product except made break  do n t waste ur money it 
0,maybe mild case athlete s foot  this work severe chronic tinea versicolor  the tee tree content pretty high  s enough 
1,this stuff really works  tell big change feet really softened  i use soap soapy suds scrubber shower  the tea tree oil ticker  strong smell shower right place 
1,my boyfriend suffered terrible athlete s foot years i  i ve made mission help cure  he said s doctors numerous times never improves  his feet red  cracked  peeling insanely itchy  the shower always hurts feet makes itch more after buying products store  lotions  etc  showing improvement i started looking online led stuff  the product smells little funky  whole bathroom smell like uses  really helped  he s nowhere near cured cracking stopped  skin n t split awhile   redness gone n t itch near much  we re pleased results more recently ve started bleaching feet sounds crazy help 
0,my skin extremely prone fungal infections  as result  i almost always active fungal infection  i treating current infection anti fungal powder combination fungasoap shower  i really hoped fungasoap would effective helping eliminate current problem well helping keep future infections away  reading glowing reviews page led believe reasonable expectation  unfortunately i experience  so far  three weeks use  product done cause rash place skin problem  at point  i think i going stop using product  i wish i n t wasted money two bottles stuff i using 
0,do n t waste money i tried ringworm  did work  it could actually made worse pros  none cons   this product dry skinb  you may break re allergic ingredients  may happened mec  it burns stings quite applicationd  it watery comes faste  it expensive geti d suggest ant fungal topical ointment  do n t fooled great perfect reviews  it great 
0,i n t like simply n t help issue tinea  even little  was hoping would made sort difference   months using  n t help issue 
1,i bought product granddaughter try eczema  it helped itching  i tried body wash as women going menopause  places tend sweat wear never sweated  i noticing unpleasant odor tried different things help get rid  this product smells funny  rinses  i longer odor 
1,good product treating skin affected skin fungus   i experienced ringworm interesting places looked aweful  after continuted use product  i find helps aid healing skin well worth peace mind brings  the affected site returned normal week  i relieved i highly recommend best wishes  dl ny
0,i purchased product year ago  looking back  however  i believe i fell victim great reviews   little great  some posts goes month next  others posted day apart similar titles  relief     immediate relief   ugh  i suspicious  oh  product nothing tinea versicolor   
1,did n t cure athlete s foot like others claimed seem clean deeper regular soap  a worthwhile investment 
0,bought product help hives foot issues however stuff smell horrible kinda like something hospital would use i could barely use  effectiveness nothing changed however i used 
1,i using production  weeks seeing big difference time harming  i think soon decide 
0,i ordered attempting replace clomitrazole betamethasone diproportionate cream i use prescription rash leg  while enjoyable use  ineffective preventing rash following  i triedclotrimazole anti fungal creamand seen good results  it seems betamethasone n t necessary keep rash control 
0,this great product works exactly advertised  my issue seller  they list item  oz  actual size  oz  you get cheaper vendors amazon 
0,i bought product conduct research help cure mothers condition  i say confidence work  maybe i need research different item 
0,it antifungal  for new  fresh  clean scentto feet  eh maybe try massage oil scented moisturizing powderrather product 
1,i bought daughter loved much disappeared  she said made acne much better  we loved scent 
0,after reading good reviews  i bought product hoping would work  i used religiously  months unfortunately change condition  i hate give star seemed work many people  i n t perform expected   
0,this nice soap  nice smell  but absolutely effect toenail fungus foot itching  i really understand extremely positive reviews  
1,i n t fungus  reading product description decided buy product anyway  it s refreshing  non drying foot soap  as diabetic  i careful bath leaves skin  especially winter  this allows gentle  antibiotic cleansing  revives tired toes soothes hard working feet 
0,i say little treatment tinea versicolor stomach  i used two bottles  months  slightly goes better  i used tree oils  still effect  maybe s little bit severe since s already like  yeas i decided treat  but s excuse  s used treat kind gray skin  i m disappointed 
1,i bought smaller bottle help athletes foot  now i use body wash  the smell strong  days i got used s really refreshing 
0,when first heard possibility star blazers dvd quite excited unfortunately received  throughly disappointed even though original program quite old  voyager could done much better job here they cut corners save money even poorest vcd s better video sound quality dvd edition you would much better buy current video tapes there as long halfway decent vcr  ll much better dvd edition keep eye japanese edition dvd s i m sure coming  n t already they n t cut corners expense quality save money spend anime dvd s like sol bianca   do n t waste money funimation dragonball dvds  evangelion dvd s either their quality almost bad 
1,one day i discussing anime people work made think star blazers tune back i   years old  so  i went lookin internet series dvd  at time n t even released part i yet  i waited bought day came  the grainy film  n t touched  quirky music seem add value exactly way i remembered  enhanced sound may okay though  since i spend lot money surround system   thus star deducted  also may point interest   i filled registration card came dvd  then i waited long time second disc  when finally came i popped disc added features i requested  lost footage  etc  except better sound 
1,i ordered dvd expectation d amusing return childhood diversions getting early watch star blazers school  i pleasantly surprised well translated dvd well story held  no  s work genius  i hoped  dvd special features   everything i expected 
1,not sure dvd reviewers looking  i bought slideshow tour yamato  n t quite exactly right say no extras  though somewhat disappointing extra   it true part ii series  though  all  leaves viewer nearly satisfied  the price bit high re getting 
1,the thing keeping dvd  star rating lack extras  none speak   having seen series ten years i amazed well story telling held  as interesting today youth  the animation n t crisp animation today  characters make  whether reliving childhood giving children something worth watching n t go wrong  i n t wait next installment  enjoy
0,glassjaw horrible  dont know possessed pick  gave listen shut draw  nothing typical nu metal power chords alot forced wimpy screaming  theres melody ryhthm  chaotic noise 
0,well reading reviews i got cd anticipation gon great  i lead believe best cd s type music went right got  turns glassjaw good  songs direction dont make sense  i m screaming everything doesnt work  guitars worst thing  place  singer great thing keeps respectable  some songs alright though  really liked ape mil  decent ones like must run day  two tabs mescaline  cavalcade convectuoso  so overall  cd isnt thought would since like bands supposed like like used  thrice  thursay  kinds band like chemical romance  really recommend  
0,look  another band blatantly mimicking at drive in  someone needs tell tools re going cop another bands style  ought least make sure band still relevant 
1,if liked glassjaws last effort  everything ever wanted know silence  thought could used tune areas  really enjoy album  many people gripes things like singers voice last album  rest assued glassjaw progresed band really reflects worship tribute  glassjaw still maintains range album still manages extend style excellent heights  i got advance copy  months ago still sounds good first got  fact would say sounds better  theres something everyone album  hardcore emo punk  glassjaw covers field still makes sound like  worth checking    
1,i deiscovered guys  oops  little late  oh well  glad  ca n t really catoragized specific genre  little hardcore  tad emo  metalcore  lot creativity  the singers voice far best  i suggest go buy cd  samples n t much   i mean i  love  m usually listening thrash  metalcore math metal 
1,i wanted say  what kind site would something like put title the used instead glassjaw   please   
1,word   best cd s ull ever find  first cd glassjaw great  anyways  cd dynamics  great drumming dope bass  wan listen hardcore stuff  this is it  get  n t disaapointed 
1,i n t believe added convectusso track line up  i f    hate it when a band adds tracks to their album  i bought your album the first day it came out  arrrgggghhhh     you too deftones and used  jesus  good album jesus 
1,this album kills last  this way raw  loud noisy  but melodic  they managed flesh sound experiment enough stand rest screamo  more inspired  glassjaw energy  creative edge consisting brains brauns  and lead singer    mug scream  they made mark hardcore  album  well way joining ranks alterna metal pioneers revolutionaries extraordinaires deftones  hum  tool   know thats saying alot  but album drips ingenuity  art  uncompromised sound  quenching thirsty ears glassjaw continue push envelope   ca n t wait next 
1,this cd absolutely awesome  daryll s voice great  musicianship excellent this around great cd buy it   
1,album   worship tribute  awesome album glassjaw  daryl s voice sexy  chimes throughout cd causing gear attention said there known musical genre put album  great demoralized labels  guitar riffs drums play similarity incubus  daryl s voice wail coo liek chino moreno s  splendid even put words  great 
1,as title says  album excellent  except slow songs   ape dos mil  relies obvious rhyme cursing off putting   must ve run all day  awkward daryl singing   ere  creepily  rest album tremendous  especially side b  stuck pig onward   the first three songs  
1,i liked eyewtkas lyrics  i actually thought sub par   interesting musical soundscapes rest band created  this cd even better sense  from first five seconds  guitar riff moves speaker another  know musical odyssey heavy riffs  frantic drumming  frequent change within songs  journey increasingly bands nowadays  probably best description work would  dillinger escape plan goes emo   if like complex  intense rock frequent tempo changes  get cd right  the songs i n t like  cosmopolitan bloodloss    ape dos mil   first two singles  oh well  maybe ll get emo kids stop listening music   get taste 
1,the raw emotional energy emanates album incredible  every song outpouring palumbo s heart soul lyrics singing  the musicianship album stunning well  the pure hardcore punk jams intense complex especially opening song  tip your bartender  closing song  convectuoso  along  mu empire    radio cambodia     stuck pig  hard hitting  wailing almost metal song surprisingly catchy  the song  must ve run all day  haunting  beautiful trip rings sincere emotion  the song  cavalcade  memorable sportscasting done palumbo song  sort lyrical experimentation  worship tribute superb album right the used s amazing debut book  excellent vocals musicianship sound completely  hard beat album good 
1,the transall saga really good book  it lot action like mark woods buffalo thing chases  it lot suspense  example  follows monkey human things tribe  i relate book build shelter i used  i think book kids years old  i liked book lot andrew w 
1,great adventure book  especially younger readers    gary paulsen always master wilderness adventure books  never disappointed  
1,this book durable  great book read  i suggest product big book readers 
1,this book quite change paulsen books  although retains paulsen s usual underlying theme survival wilderness  yup  and i m afraid several reviewers misguided perhaps confused  book overflowing  goar   main character mark on mars  i found novel captivating entertaining  i enjoyed mark s attitude aquired transall  world mark mysteriously transported falling bizzare blue light  this book satisfying ending leaves reader awestruck contemplative 
1,we assigned read book school s bookclub  at first i disapointed going read nerdy sci fi book i got though first chapter i really interested  this book wastes time getting action  you hooked page  it s thought provoking book  i really looking foreword discussing 
1,i rated book four stars i think made second made longer  it adventurous book  so like adventurous books read 
1,i would recommend book anyone seeks adventurous mysterious books  this book many problems conflicts result rise main idea plot story  the characters throughout story different strange  vital parts story affect main problem  small problems arise story  the details distinctly described  clear  when start figure happen next  something unexpected pops changes whole story  after starting magnificent book  never put  i thought book incredible adventure book 
1,this book contained many characters easily confusing  every moment i spent reading way worth  i read book  morning four  i could watched tv  favorite hobbies  i chose read  instead 
1,i got done reading  the transall saga  gary paulsen  i known gary paulsen sometime ever since reading part  hatchet  elementary school  this book however kept interested hatchet could ever hope  the transall saga opinion paulsen s best book i recommend highly readers ages  paulsen wrote sci fi novel actually gave feeling kid first time life  it contains imaginative world wonderful characters grow attach  it little something everybody  action  adventure  sci fi  romance  survival  good vs evil course  truly wonderful story highest children storytelling 
1,wow  this book excellent  i n t think s part i disliked i would rate book  stars outstanding gary paulsen matched characters feel i liked mark able survive another culture  transported desert blue light another planet another time i really liked mark became important member  warrior  tsook i thought little weird though  mark fell love cheif s daughter  megaan  tsook  rather slave known first got there i suprised many people turned mark wanted stop outlander if like science ficton mystery  book 
1,the transall saga gary paulsen superb book  it takes place past appears different planet  a young boy named mark gets bitten snake falls big blue light transferred new time  i encourage people reading buy get book library book store  start read book  never put 
1,1 year old mark goes solo backpacking trip old magruder range strange blue light transports another time  this trip turns terrifying adventure  survive start new life world called transall  along way mark meets tribes unusual looking people makes various friends  he sees strange animals  gets involved  pain fighting  now must search torn land find blue light sent get back home  mark soon discovers startling powers  but something really bad happens  skills tested  how win battle guts   literally guts  will find way back live strange world forever  this science fiction book full adventure   love  new amazing things  it good book young adult readers fantasize living surviving 
1,i finished reading book  incredible  just think n t get better  gary paulsen capsures emotions situations book  for people like n t like read hours wants intresting action packed book perfect  this must read  star book 
1,gary paulsen shows style writing must read book  i ve read books n t make sense awesome book  it mark gets sent different planet mysterious blue light  along way back time mark finds people n t way seem  gary paulsen excellent writer comes  i would recommend book readers interested mysteries outside world  any reads book would love instantly  i ve read book three times i still find suprises along way  the book goar  book needs read  i ve assigned book fifth grade i still n t stop day read  gary paulsen way capture reader book  honestly  book great pick school project reading material  take word  read book 
1,  book awesome     mark  main character transported time hiking trip ventures towards mysterious blue light sucked  he forced survive called  future   mark must find edible food  englsh speaking humans friends monkey help  all sorts elements towards must conquere many things must toward conquere  during book finds tribes becomes parts  gets maried indian rides across nearly whole desert  i would like tell i worry m telling much  i hope find review helpful 
1,first  read book read  hooked chapter  it would great gary paulsen wrote sequel like brian s winter  what blue light never came make life living new planet earth  i think sequel book would great hatchet sequels  please send responses 
1,wow  gary paulsen done  in brilliant masterpiece mark  year old boy falls blue light ends differrent planet the book trying find blue light get home  paulsen fantastic job describing new world brutal tough mark s journey  this book must read  if buy please check local library
1,it best book ive ever read  i would never read book unless librarian showed new gary paulsen book  he s favorite author i knew i read  gary paulsen keep writing books forever 
1,tami anastasia helped find i keeping weight  i found tools neededto help healther happier  her approach different listen says  i 
1,charles reasoner designed whole series interactive sliding books  all probably read child since sliding feature simply hard work  each pages describes action particular bug asks bug  in books  animals hidden page  supposed pull apart reveal animal   if child look alone  would simply viewing pages scenery  the bugs look cartoonish n t entirely resemble supposed  having said  i n t regret purchase recommend book  reservations 
1,i pretty big fan dave robicheaux series least favorite book far  i understand dave  cowboy  personality always wants rebel kind authority figure way overdone book also  i got pretty tired young  really attra active women begging sleep dave  not so young alcoholic tons issues n t particularly attractive   once third girl came  i really rolling eyes   all said  i really like series enjoyed many books  i n t give dave robicheaux yet 
1,wow  this turned far better i expected  i seen movie n t terribly impressed decided pick watching  in electric mist   tommy lee jones evoked great character i wanted  my real qualm book sex scenes always came across awkward  what worked well speech patterns  food  descriptions life new iberia  descriptions bayou areas around dave s house  villains  nature dave dried alcoholic still struggles find makes tick  well done 
1,i grew mr burke s lousiana know cities writes  this book like visit home  this murder mystery novel  like  usually n t read murder mystery novels  this book inward struggles dark side humanity well public issues  mr burke puts reluctant hero middle murder captures esscence cajun culture 
0,this third burke s robicheaux books i ve read   opinion  worst  give credit  burke s descriptions ethereal  characterizations  least  dave  clete  vivid make  unfortunately  political rants honk unpredictably obnoxiously throughout books  especially  like amateur tuba player beautiful symphony  i entertained  preached  there times denouements leave much desired  as mystery reader  puzzle important  i make sense  i loose ends tied 
0,i listened tape  the reader perfect part  the story  however  left high dry  i felt like i d fallen asleep missed part avenges wife  maybe i  this depressing story part done talented writer  too bad seemed stop instead  loose ends left blowing wind place 
1,burke master language  most characters depth humor  even dislike  believe  and writes hell mystery  love him ceré
1,i think readers know whether book worth reading  rather telling story  i think really good book series  as woman  i think went annie  wife killed  another woman s bed bit quickly  i think ending could made clearer  all good  moody book  dave lot intelligent insight psyche  may help us peek  from reviews  i see movie made novel loser  i skip 
1,esplains theory detaily and lots excercise solution included
0,i movie vhs wanted purchase dvd younger grandchildren love vhs  the vhs giving us trouble  when i ordered dvd said stock charged dvd  then i given refund told  i would really like dvd babies  i disappointed  i wish would n t said said n t  my review dvd excellent company   poor 
1,if read reviews  notice i m big fan gemmels  i love books  none  except  i ever rated  star  the characters fantastic i even became mournful ever died  in novel i m able pick favourite character right begining  story i could decide i liked most the demons brilliantly contrasted another i love way odds stacked goodies  you really feel way  i promise never predict ending this drenai book  yet seperate nadir story line  so n t read link others  simply put  best stories ll ever across 
1,some authors manage completely ruin great characters simply stopping  i think readers genre love get great awe inspiring acts fresh scene heroes  david gemmel manages show readers happens heroes get old gemmel talent creating great scenes  there authors  perhaps describe fight scene detail zeal  david gemmel deliver simple scene make seem like pearl hidden oyster  the action packed book  enough readers like keep us turning pages  i enjoyed character intereaction book  he n t try make love characters  fact characters quite opposite simply put great book  author writes great fantasy  it definately worth picking love fantasy genre 
1,i  discovered  david gemmell recently s rapidly moving onto list favorite authors  in book  complex characters drawn intricate detail  never boring herioc  honourable yet flawed way  heroes winter warriors eminently likeable  you n t help empathise  quest principles  there many shades gray book  breath fresh air overcrowded fanstasy genre highly recommended 
1,winter warriors first david gemmel book i became entranced  if readers already absorbed magic narnia  i believe find even scintillating  awesome adventure  a good compare narnia  david gemmel vividly maps world  land good  evil  characters puts   shade grey inbetween   but unique book never  even fantastic tines tolkien  characters developed  fleshed  woven together destiny s bonds gemmel s reads  winter warriors best  in fact  causes readers become attached emotion conveyed text leaves page becomes sentient  there points novel i cried  sections made laugh  parts i felt dread horror  can fantasy really powerful  reader  find 
1,once david gemmell catches imagination   winter warriors cut drenai sagas  i liked legend lot   book goes step  gemmell master book brings world back life   new myths new legends making i n t recommend book enough  hard stop reading 
1,a cautionary family patriots fighting freedom survival american nation betrayed s government  well written fast paced  you enjoy ride 
0,the description book mention page chintzy paper back  i cant believe people charging dollars nickle booklet  i wish i would information i bought 
1,i ve airsoft firearm months  i could n t pleased  coming first handgun  shot colt mk came spring rifle  decided get handgun i getting sick difficult fire old handgun  some shots hurt hands continue pulling slide shoot   this handgun still single shot  s much easier pull slide back  surprising see much power packs behind every shot  the magazine size jumped shots around  i purchased couple extra magazines allow around shots i need reload everything  it s plenty accurate ranges i ve used  something like feet   overall  great sidearm airsoft shootout 
1,would like mention  body may comtemplating cd totally kicks   it classic black dog atmospheere bytes especially the temple of transparant balls  opinion cd essential part black dog collection the first track suuuuperb  p s dont buy music for adverts   
1,what say  s lanyard  i buy volleyball referees nyc board good quality the seller efficient quick order  great pleasure deal  i buy next year 
1,the lanyards whistles purchased christmas gift well received thank 
0,bought new sony less four weeks work  calling sony left buzy signals  finally got gave help  finally got fixed broken  months      won t buy another sony    
0,cheap  rough wood lots visible flaws wood filler  luckily  i need finishing purposes 
1,i bought album upon s release  this undoubtly best effort  i saw pat travers will rogers auditorium fort worth texas  this small venue holds people blew roof place  so glad see finally released cd  this album unlike radio active heat in the street aged bit  it funked touch jazz  there bad track  if n t cd get it  you sorry 
1,pat travers  putting it straight  cd needs everyguitarist wan  collection  pat s music versatile energydriven  this cd kicks ass  still n t play loud enough  even years old buy it  n t disappointed 
1,very cute toy   really cool give child slowly initiate joys gaming 
1,i like little dot dot book  it small enough go anywhere enough dots keep interested long periods time  i purchasing books future 
0,keep money save family heartache anger  this television  cute    attractive  kids  soon warranty wears  pile junk  just  months  remote started  resetting  factory internal settings numbers  sound    picture    external dvd setups   huge charts numbers eventually appeared screen pressing  play  command remote  button pressed remote would change  internal  numbers television ceased functioning properly  do n t waste time money product 
0,my daughter received tv christmas last year  it easy setup strwaberry shortcake screen saver tv cute  the tv dvd players started problems  months setting  the manufacturers warranty covers days purchase  i find awful since products started problems shortly warranty expired  even though  fun  i would recommend wasting money tv and or dvd player 
0,this awful product  it leaves sand food bottom cooking pans boiling something  why many excellent  reviews leaves wondering   who s really behind reviews  granted may  natural  organic  dirt  i think that many folks love eat grit 
1,here  songs think think neil sedaka  get lyrics internet  print  grab kids  sing along  these peppy  singable songs enjoy  it real treat 
1,the cd clear crisp the reason i gave  stars i songs  i buy certain songs i n t complain  the price right really n t go wrong 
0,with exception  songs   greatest hits  misnomer  the majority songs i n t believe ever actual hits  basically unlistenable record 
1,first  re christian  respect book verified research presented if christian  i think book illuminates nearness christ s return   brings spiritual life blade holy spirit things need delt  reading book hard let go a must read anyone serious times prophecy  now times prophecy  jesus coming soon  yes saying long time  read book  ll see very very close actual event happening 
1,herb made book easy follow  makes interesting read although i may agree  everything says  i n t found anyone yet i agree  time i would recommend book sort thing interests you there herb peter bashers  i ve found well known christian forum  likely ones left negative comments book 
0,i definitely would recommend book  the author completely wrapped conspiracy theory choice ac  he refuses look whole picture afterall  wrote book wants true as another person said previously  stick bible  do n t allow get caught conspiracy theory version ac ac kingdom biblical matter hard tries twist scripture 
1,richard hawley great song writers  this single version  born under bad sign  gem  featuring great bridge lead guitarist uses burns stringed guitar  used recently knitting factory hollywood  great place see alternative rock show  march    hawley plays great bridge piece red gretsch  i think gretsch  the non lp  dark road  increases new cd single s appeal  and get video  noted region  dvd n t play american region dvd players  but n t let stop  the single version  born under bad sign    dark road  worth small price new richard hawley cd single 
